ダウンロードした時刻：2023/08/04 11:28:03

,,東市来,東市来,東市来,東市来,東市来,東市来,八重山,八重山,八重山,八重山,八重山,八重山,川内,川内,川内,川内,川内,川内,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島
年月日,曜日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/1/22,日,11.9,8,1,-0.1,8,1,,0,1,,0,1,10.9,8,1,-0.6,8,1,13.2,8,1,4.4,8,1
2023/1/23,月,15.0,8,1,8.9,8,1,,0,1,,0,1,14.1,8,1,8.6,8,1,16.7,8,1,10.1,8,1
2023/1/24,火,9.1,8,1,-2.6,8,1,,0,1,,0,1,9.2,8,1,-2.7,8,1,10.5,8,1,-2.0,8,1
2023/1/25,水,3.7,8,1,-3.4,8,1,,0,1,,0,1,4.1,8,1,-2.8,8,1,5.5,8,1,-3.0,8,1
2023/1/26,木,11.7,8,1,-1.2,8,1,,0,1,,0,1,11.4,8,1,-1.8,8,1,11.5,8,1,0.2,8,1
2023/1/27,金,7.7,8,1,2.1,8,1,,0,1,,0,1,7.0,8,1,2.6,8,1,8.5,8,1,2.8,8,1
2023/1/28,土,4.3,8,1,0.5,8,1,,0,1,,0,1,4.4,8,1,-0.9,8,1,6.3,8,1,0.8,8,1
2023/1/29,日,9.1,8,1,0.4,8,1,,0,1,,0,1,7.2,8,1,0.0,8,1,9.4,8,1,1.3,8,1
2023/1/30,月,12.0,8,1,0.5,8,1,,0,1,,0,1,10.4,8,1,0.3,8,1,12.8,8,1,3.4,8,1
2023/1/31,火,13.3,8,1,-1.4,8,1,,0,1,,0,1,13.1,8,1,-1.6,8,1,15.2,8,1,2.3,8,1
2023/2/1,水,19.6,8,1,3.7,8,1,,0,1,,0,1,19.9,8,1,2.7,8,1,20.4,8,1,5.3,8,1
2023/2/2,木,15.2,8,1,5.1,8,1,,0,1,,0,1,15.0,8,1,4.5,8,1,17.6,8,1,10.1,8,1
2023/2/3,金,12.9,8,1,3.2,8,1,,0,1,,0,1,12.4,8,1,3.4,8,1,14.9,8,1,8.5,8,1
2023/2/4,土,13.5,8,1,2.3,8,1,,0,1,,0,1,12.6,8,1,2.5,8,1,14.6,8,1,5.9,8,1
2023/2/5,日,14.4,8,1,-1.3,8,1,,0,1,,0,1,14.5,8,1,-1.4,8,1,15.5,8,1,4.1,8,1
2023/2/6,月,13.7,8,1,5.2,8,1,,0,1,,0,1,12.5,8,1,3.6,8,1,14.4,8,1,8.7,8,1
2023/2/7,火,14.4,8,1,7.4,8,1,,0,1,,0,1,14.3,8,1,9.1,8,1,14.4,8,1,11.8,8,1
2023/2/8,水,16.7,8,1,4.9,8,1,,0,1,,0,1,15.3,8,1,5.5,8,1,18.8,8,1,8.8,8,1
2023/2/9,木,13.8,8,1,5.4,8,1,,0,1,,0,1,13.8,8,1,5.3,8,1,15.3,8,1,8.8,8,1
2023/2/10,金,19.2,8,1,5.4,8,1,,0,1,,0,1,19.5,8,1,8.6,8,1,19.2,8,1,10.3,8,1
2023/2/11,土,14.9,8,1,4.5,8,1,,0,1,,0,1,15.0,8,1,4.3,8,1,15.3,8,1,8.1,8,1
2023/2/12,日,20.4,8,1,7.6,8,1,,0,1,,0,1,20.9,8,1,7.8,8,1,18.6,8,1,10.0,8,1
2023/2/13,月,18.0,8,1,9.2,8,1,,0,1,,0,1,16.6,8,1,9.9,8,1,19.5,8,1,10.3,8,1
2023/2/14,火,14.1,8,1,3.8,8,1,,0,1,,0,1,14.0,8,1,4.0,8,1,15.0,8,1,7.1,8,1
2023/2/15,水,13.5,8,1,1.0,8,1,,0,1,,0,1,13.1,8,1,1.0,8,1,14.9,8,1,5.1,8,1
2023/2/16,木,14.7,8,1,1.1,8,1,,0,1,,0,1,14.9,8,1,-1.4,8,1,14.4,8,1,3.3,8,1
2023/2/17,金,16.2,8,1,1.0,8,1,,0,1,,0,1,17.2,8,1,-0.1,8,1,15.8,8,1,4.2,8,1
2023/2/18,土,19.4,8,1,10.9,8,1,,0,1,,0,1,20.9,8,1,10.6,8,1,19.8,8,1,10.8,8,1
2023/2/19,日,18.6,8,1,9.6,8,1,,0,1,,0,1,18.9,8,1,8.2,8,1,19.0,8,1,10.3,8,1
2023/2/20,月,12.0,8,1,6.6,8,1,,0,1,,0,1,12.3,8,1,5.7,8,1,13.9,8,1,7.2,8,1
2023/2/21,火,12.8,8,1,1.0,8,1,,0,1,,0,1,11.8,8,1,3.1,8,1,14.0,8,1,4.6,8,1
2023/2/22,水,16.4,8,1,5.8,8,1,,0,1,,0,1,16.5,8,1,3.4,8,1,16.2,8,1,8.0,8,1
